OPO code,Center code,Begin date,End date,Local Transplants,Regional Transplants,KI transplants procured by this OPO for the center,PA transplants procured by this OPO for the center,LI transplants procured by this OPO for the center,IN transplants procured by this OPO for the center,HR transplants procured by this OPO for the center,LU transplants procured by this OPO for the center
GALL,AZMC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
HIOP,AZMC-TX1,07/01/2017,06/30/2018,0,0,5,3,1,0,0,0
MIOP,AZMC-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
MNOP,AZMC-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MOMA,AZMC-TX1,07/01/2017,06/30/2018,0,0,6,0,0,0,0,0
MWOB,AZMC-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
NMOP,AZMC-TX1,07/01/2017,06/30/2018,0,1,3,1,5,0,2,0
NVLV,AZMC-TX1,07/01/2017,06/30/2018,0,1,8,3,7,0,0,0
NYRT,AZMC-TX1,07/01/2017,06/30/2018,0,0,4,0,0,0,0,0
OHLB,AZMC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OKOP,AZMC-TX1,07/01/2017,06/30/2018,0,0,2,0,5,0,0,0
ORUO,AZMC-TX1,07/01/2017,06/30/2018,0,0,1,0,1,0,0,0
PADV,AZMC-TX1,07/01/2017,06/30/2018,0,0,34,0,0,0,0,0
PATF,AZMC-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
SCOP,AZMC-TX1,07/01/2017,06/30/2018,0,0,6,0,0,0,0,0
TNDS,AZMC-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
TXGC,AZMC-TX1,07/01/2017,06/30/2018,0,0,6,0,4,0,0,0
TXSA,AZMC-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
TXSB,AZMC-TX1,07/01/2017,06/30/2018,0,0,5,0,2,0,2,0
UTOP,AZMC-TX1,07/01/2017,06/30/2018,0,1,9,2,5,0,3,0
VATB,AZMC-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
WALC,AZMC-TX1,07/01/2017,06/30/2018,0,0,5,0,8,0,0,0
AZOB,AZSJ-TX1,07/01/2017,06/30/2018,1,1,7,0,9,0,0,104
CADN,AZSJ-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,0,4
CAGS,AZSJ-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,0,2
CAOP,AZSJ-TX1,07/01/2017,06/30/2018,0,1,0,0,3,0,0,12
CASD,AZSJ-TX1,07/01/2017,06/30/2018,0,1,1,0,2,0,0,12
MWOB,AZSJ-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
NMOP,AZSJ-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,0,5
NVLV,AZSJ-TX1,07/01/2017,06/30/2018,0,1,1,0,1,0,0,16
OKOP,AZSJ-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,1
TXSB,AZSJ-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,6
UTOP,AZSJ-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,14
AZOB,AZUA-TX1,07/01/2017,06/30/2018,1,1,35,0,12,0,15,30
CADN,AZUA-TX1,07/01/2017,06/30/2018,0,1,2,0,1,0,0,0
CAGS,AZUA-TX1,07/01/2017,06/30/2018,0,1,3,1,0,0,0,0
CAOP,AZUA-TX1,07/01/2017,06/30/2018,0,1,11,0,2,0,0,16
CASD,AZUA-TX1,07/01/2017,06/30/2018,0,1,4,0,2,0,0,4
CORS,AZUA-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
DCTC,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLMP,AZUA-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
FLUF,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
GALL,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
INOP,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
