OPO code,Center code,Begin date,End date,Local Transplants,Regional Transplants,KI transplants procured by this OPO for the center,PA transplants procured by this OPO for the center,LI transplants procured by this OPO for the center,IN transplants procured by this OPO for the center,HR transplants procured by this OPO for the center,LU transplants procured by this OPO for the center
TXSB,MOCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
AROR,MOLH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
CORS,MOLH-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
IAOP,MOLH-TX1,07/01/2017,06/30/2018,0,1,2,0,1,0,0,0
INOP,MOLH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
MOMA,MOLH-TX1,07/01/2017,06/30/2018,0,1,4,0,0,0,0,0
MSOP,MOLH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MWOB,MOLH-TX1,07/01/2017,06/30/2018,1,1,66,0,25,0,29,0
NEOR,MOLH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,1,0
OKOP,MOLH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,2,0
TXSB,MOLH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
WIDN,MOLH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,1,0
ALOB,MORH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
AZOB,MORH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CORS,MORH-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
FLFH,MORH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
IAOP,MORH-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
MWOB,MORH-TX1,07/01/2017,06/30/2018,1,1,45,3,0,0,0,0
NEOR,MORH-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
AZOB,MOSL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CORS,MOSL-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
MOMA,MOSL-TX1,07/01/2017,06/30/2018,1,1,40,3,24,0,0,0
MWOB,MOSL-TX1,07/01/2017,06/30/2018,0,1,5,0,1,0,0,0
NEOR,MOSL-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
NYAP,MOSL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXSB,MOSL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MWOB,MOUM-TX1,07/01/2017,06/30/2018,1,1,13,0,0,0,0,0
ALOB,MSUM-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
AROR,MSUM-TX1,07/01/2017,06/30/2018,0,1,4,0,1,0,0,0
FLFH,MSUM-TX1,07/01/2017,06/30/2018,0,1,5,0,0,0,0,0
FLUF,MSUM-TX1,07/01/2017,06/30/2018,0,1,5,0,1,0,0,0
FLWC,MSUM-TX1,07/01/2017,06/30/2018,0,1,3,0,4,0,0,0
GALL,MSUM-TX1,07/01/2017,06/30/2018,0,1,8,0,2,0,1,0
LAOP,MSUM-TX1,07/01/2017,06/30/2018,0,1,5,0,0,0,0,0
MAOB,MSUM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MNOP,MSUM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MSOP,MSUM-TX1,07/01/2017,06/30/2018,1,1,69,1,26,0,6,0
PRLL,MSUM-TX1,07/01/2017,06/30/2018,0,1,3,0,1,0,0,0
TNMS,MSUM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
WALC,MSUM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
CASD,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CORS,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLMP,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLUF,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,1,0,0,0,0
FLWC,NCBG-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
GALL,NCBG-TX1,07/01/2017,06/30/2018,0,0,4,0,0,0,0,0
INOP,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
KYDA,NCBG-TX1,07/01/2017,06/30/2018,0,1,3,0,0,0,0,0
MAOB,NCBG-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MDPC,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MIOP,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,1,0
MNOP,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MOMA,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MWOB,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NCCM,NCBG-TX1,07/01/2017,06/30/2018,0,1,9,0,0,0,0,0
NCNC,NCBG-TX1,07/01/2017,06/30/2018,1,1,67,8,0,0,8,0
NJTO,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NVLV,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NYRT,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NYWN,NCBG-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
OHLB,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
PADV,NCBG-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
PATF,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
SCOP,NCBG-TX1,07/01/2017,06/30/2018,0,1,4,0,0,0,0,0
TNDS,NCBG-TX1,07/01/2017,06/30/2018,0,1,14,1,0,0,0,0
TNMS,NCBG-TX1,07/01/2017,06/30/2018,0,1,4,1,0,0,0,0
UTOP,NCBG-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
VATB,NCBG-TX1,07/01/2017,06/30/2018,0,1,7,0,0,0,0,0
CORS,NCCM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLUF,NCCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
FLWC,NCCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
GALL,NCCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
INOP,NCCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
KYDA,NCCM-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,1,0
MOMA,NCCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
NCCM,NCCM-TX1,07/01/2017,06/30/2018,1,1,79,4,51,0,16,0
NCNC,NCCM-TX1,07/01/2017,06/30/2018,0,1,0,0,3,0,0,0
NYRT,NCCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OHOV,NCCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
SCOP,NCCM-TX1,07/01/2017,06/30/2018,0,1,1,0,6,0,3,0
TNDS,NCCM-TX1,07/01/2017,06/30/2018,0,1,1,0,10,0,0,0
TNMS,NCCM-TX1,07/01/2017,06/30/2018,0,1,0,0,4,0,0,0
VATB,NCCM-TX1,07/01/2017,06/30/2018,0,1,1,0,2,0,0,0
ALOB,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,3,6
AROR,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CADN,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CAOP,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CTOP,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
DCTC,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,6
FLFH,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,4,9
FLMP,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
FLUF,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,3,2
FLWC,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,6
GALL,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,3,7
IAOP,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ILIP,NCDU-TX1,07/01/2017,06/30/2018,0,0,5,0,0,0,1,4
INOP,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,2
KYDA,NCDU-TX1,07/01/2017,06/30/2018,0,1,2,0,8,0,0,4
MAOB,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,6
MDPC,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,2,7
MIOP,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,4
MNOP,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,1
MOMA,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MWOB,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NCCM,NCDU-TX1,07/01/2017,06/30/2018,0,1,2,0,3,0,1,8
NCNC,NCDU-TX1,07/01/2017,06/30/2018,1,1,80,7,64,0,31,50
NEOR,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,1
NJTO,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,4,0
NVLV,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NYFL,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
NYRT,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,4
OHLC,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OHLP,NCDU-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
OHOV,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,1
OKOP,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,1
ORUO,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
PADV,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,4,4
PATF,NCDU-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,3
PRLL,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
SCOP,NCDU-TX1,07/01/2017,06/30/2018,0,1,2,0,11,0,11,26
TNDS,NCDU-TX1,07/01/2017,06/30/2018,0,1,5,1,9,0,5,10
TNMS,NCDU-TX1,07/01/2017,06/30/2018,0,1,1,0,3,0,0,0
TXGC,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,6
TXSB,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,4
VATB,NCDU-TX1,07/01/2017,06/30/2018,0,1,2,0,5,0,3,7
WIDN,NCDU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
WIUW,NCDU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,2
DCTC,NCEC-TX1,07/01/2017,06/30/2018,0,0,2,1,0,0,0,0
HIOP,NCEC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MAOB,NCEC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MIOP,NCEC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MNOP,NCEC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NCCM,NCEC-TX1,07/01/2017,06/30/2018,0,1,7,0,0,0,0,0
NCNC,NCEC-TX1,07/01/2017,06/30/2018,1,1,50,6,0,0,0,0
NEOR,NCEC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NJTO,NCEC-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
OKOP,NCEC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
SCOP,NCEC-TX1,07/01/2017,06/30/2018,0,1,4,0,0,0,0,0
TNDS,NCEC-TX1,07/01/2017,06/30/2018,0,1,4,0,0,0,0,0
TNMS,NCEC-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
VATB,NCEC-TX1,07/01/2017,06/30/2018,0,1,4,0,0,0,0,0
AZOB,NCMH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CASD,NCMH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
GALL,NCMH-TX1,07/01/2017,06/30/2018,0,0,1,0,1,0,2,8
ILIP,NCMH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
KYDA,NCMH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,0,2
LAOP,NCMH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
MOMA,NCMH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NCCM,NCMH-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,2
NCNC,NCMH-TX1,07/01/2017,06/30/2018,1,1,76,1,29,0,13,12
NEOR,NCMH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
PADV,NCMH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
PRLL,NCMH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
SCOP,NCMH-TX1,07/01/2017,06/30/2018,0,1,1,0,2,0,2,6
TNDS,NCMH-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,1,0
TNMS,NCMH-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
VATB,NCMH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,0,2
ALOB,NDMC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ILIP,NDMC-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
MNOP,NDMC-TX1,07/01/2017,06/30/2018,1,1,5,0,0,0,0,0
NCNC,NDMC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ILIP,NDSL-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
MNOP,NDSL-TX1,07/01/2017,06/30/2018,1,1,12,0,0,0,0,0
TXSB,NDSL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
WIDN,NDSL-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
WIUW,NDSL-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
KYDA,NECH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
NYRT,NECH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
ORUO,NECH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
TXSB,NECH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
WIDN,NECH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
AROR,NEUN-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
CORS,NEUN-TX1,07/01/2017,06/30/2018,0,1,8,0,6,0,11,0
FLFH,NEUN-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLWC,NEUN-TX1,07/01/2017,06/30/2018,0,0,0,1,1,1,0,0
IAOP,NEUN-TX1,07/01/2017,06/30/2018,0,1,1,0,6,0,0,0
ILIP,NEUN-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
INOP,NEUN-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
KYDA,NEUN-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,2
MIOP,NEUN-TX1,07/01/2017,06/30/2018,0,0,0,1,1,1,0,1
MNOP,NEUN-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
MOMA,NEUN-TX1,07/01/2017,06/30/2018,0,1,5,0,7,0,0,0
MWOB,NEUN-TX1,07/01/2017,06/30/2018,0,1,27,6,15,4,2,11
NEOR,NEUN-TX1,07/01/2017,06/30/2018,1,1,71,1,39,1,16,4
NYFL,NEUN-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OKOP,NEUN-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,4,0
PADV,NEUN-TX1,07/01/2017,06/30/2018,0,0,1,2,2,2,0,0
UTOP,NEUN-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
WALC,NEUN-TX1,07/01/2017,06/30/2018,0,0,0,1,1,1,0,0
WIUW,NEUN-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
MAOB,NHDH-TX1,07/01/2017,06/30/2018,1,1,4,0,0,0,0,0
DCTC,NJBI-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,2,0
GALL,NJBI-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
MAOB,NJBI-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,1
MIOP,NJBI-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
MNOP,NJBI-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
NJTO,NJBI-TX1,07/01/2017,06/30/2018,1,1,2,0,0,0,34,9
NYRT,NJBI-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
PADV,NJBI-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,3,3
TNDS,NJBI-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
CASD,NJHK-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
DCTC,NJHK-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
GALL,NJHK-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MAOB,NJHK-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MDPC,NJHK-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
NCNC,NJHK-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NEOR,NJHK-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
NJTO,NJHK-TX1,07/01/2017,06/30/2018,1,1,32,1,0,0,0,0
PADV,NJHK-TX1,07/01/2017,06/30/2018,0,1,9,0,0,0,0,0
PATF,NJHK-TX1,07/01/2017,06/30/2018,0,1,3,0,0,0,0,0
VATB,NJHK-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
DCTC,NJLL-TX1,07/01/2017,06/30/2018,0,1,1,0,1,0,0,0
MDPC,NJLL-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
NJTO,NJLL-TX1,07/01/2017,06/30/2018,1,1,31,5,15,0,0,0
NYAP,NJLL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OHOV,NJLL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
PADV,NJLL-TX1,07/01/2017,06/30/2018,0,1,1,0,3,0,0,0
PATF,NJLL-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
LAOP,NJRW-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NJTO,NJRW-TX1,07/01/2017,06/30/2018,1,1,4,0,0,0,12,0
PADV,NJRW-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
ALOB,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
AZOB,NJSB-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
CADN,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CAOP,NJSB-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
CORS,NJSB-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
DCTC,NJSB-TX1,07/01/2017,06/30/2018,0,1,7,0,0,0,0,0
FLWC,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
GALL,NJSB-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
ILIP,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
INOP,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
LAOP,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MDPC,NJSB-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
MOMA,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NCCM,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NCNC,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NJTO,NJSB-TX1,07/01/2017,06/30/2018,1,1,118,4,0,0,0,0
NVLV,NJSB-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
NYRT,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OHLP,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OHOV,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
PADV,NJSB-TX1,07/01/2017,06/30/2018,0,1,7,0,0,0,0,0
PATF,NJSB-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
TXGC,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXSA,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXSB,NJSB-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
UTOP,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
VATB,NJSB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NJTO,NJUH-TX1,07/01/2017,06/30/2018,1,1,0,0,13,0,0,0
PADV,NJUH-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
PATF,NJUH-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,0,0
AZOB,NMAQ-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
CAOP,NMAQ-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
NCNC,NMAQ-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NMOP,NMAQ-TX1,07/01/2017,06/30/2018,1,1,29,0,0,0,0,0
NVLV,NMAQ-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
UTOP,NMAQ-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
AZOB,NMPH-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
CADN,NMPH-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
CASD,NMPH-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
MSOP,NMPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NMOP,NMPH-TX1,07/01/2017,06/30/2018,1,1,25,1,0,0,0,0
NVLV,NMPH-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
TXSB,NMPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CAOP,NVUM-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
GALL,NVUM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NVLV,NVUM-TX1,07/01/2017,06/30/2018,1,1,51,0,0,0,0,0
ORUO,NVUM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
SCOP,NVUM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
UTOP,NVUM-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
CAOP,NYAM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MIOP,NYAM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NYAP,NYAM-TX1,07/01/2017,06/30/2018,1,1,43,0,0,0,0,0
NYRT,NYAM-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
PADV,NYAM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NYRT,NYCC-TX1,07/01/2017,06/30/2018,1,1,4,0,0,0,0,0
ALOB,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,0,1,0,0
AZOB,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,1,1,1,0,0
CORS,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CTOP,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,2
DCTC,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,11
FLFH,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,2,1
FLUF,NYCP-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
FLWC,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,0,1,0,1,0
GALL,NYCP-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,1
IAOP,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,1,1,1,0,0
ILIP,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,2
INOP,NYCP-TX1,07/01/2017,06/30/2018,0,0,3,0,1,0,0,0
KYDA,NYCP-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
LAOP,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,1,1,0,0
MAOB,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,14
MDPC,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,5,10
MIOP,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,5,0
MNOP,NYCP-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MOMA,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MWOB,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
NCCM,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,0,1,0,3,5
NCNC,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,3
NEOR,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
NJTO,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,1,0,0,3,17
NVLV,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NYAP,NYCP-TX1,07/01/2017,06/30/2018,0,1,4,0,7,0,1,5
NYFL,NYCP-TX1,07/01/2017,06/30/2018,0,1,0,0,6,0,1,3
NYRT,NYCP-TX1,07/01/2017,06/30/2018,1,1,32,4,29,0,25,20
NYWN,NYCP-TX1,07/01/2017,06/30/2018,0,1,0,0,8,0,3,1
OHLB,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,1,2
OHLC,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OHLP,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,1,1,1,3,0
OHOV,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,3,2
ORUO,NYCP-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
PADV,NYCP-TX1,07/01/2017,06/30/2018,0,0,4,0,1,0,8,7
PATF,NYCP-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,2
PRLL,NYCP-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,1,1
SCOP,NYCP-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,2,2
TNDS,NYCP-TX1,07/01/2017,06/30/2018,0,0,3,0,1,0,1,0
TNMS,NYCP-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,2
